evid,station,abs_time,grade,envelope_size,noise_rms,maxamp,snr,practical_noise_lvl,practical_snr
770207-19-M4,geo2,1977-02-07T19:02:47,C,1,0.0011987116886302829,0.003953554201871157,3.3,0.004663442261517048,0.8
770207-19-N4,geo4,1977-02-07T19:09:23,D,1,0.0012698956998065114,0.004481452517211437,3.5,0.004683816805481911,1.0
770207-19-M1,geo3,1977-02-07T19:14:33,B,1,0.001202938612550497,0.005273126531392336,4.4,0.004529742989689112,1.2
770207-19-M1,geo4,1977-02-07T19:14:40,B,1,0.0014260477619245648,0.0060333083383738995,4.2,0.005366691388189793,1.1
770207-19-M1,geo1,1977-02-07T19:14:40,B,1,0.0010468729306012392,0.005230103153735399,5.0,0.004530103411525488,1.2
770207-19-M2,geo2,1977-02-07T19:22:30,A,1,0.0010223719291388988,0.003809163346886635,3.7,0.004578136373311281,0.8
770207-19-M2,geo3,1977-02-07T19:22:30,A,1,0.0013053719885647297,0.004670257214456797,3.6,0.005060886964201927,0.9
770207-19-M2,geo1,1977-02-07T19:22:35,A,1,0.001197924604639411,0.0038301029708236456,3.2,0.0038301029708236456,1.0
770207-19-M2,geo4,1977-02-07T19:22:37,A,1,0.0012293837498873472,0.004458957817405462,3.6,0.004737406969070435,0.9
770207-19-N2,geo2,1977-02-07T19:25:31,D,1,0.0010021101916208863,0.003876039758324623,3.9,0.003876039758324623,1.0
770207-19-N1,geo1,1977-02-07T19:28:46,D,1,0.0010735552059486508,0.006029454059898853,5.6,0.0038301029708236456,1.6
770207-19-M3,geo3,1977-02-07T19:32:48,C,1,0.0012568706879392266,0.00448906933888793,3.6,0.004529742989689112,1.0
770207-19-M3,geo1,1977-02-07T19:33:04,C,1,0.001194902346469462,0.004466785583645105,3.7,0.004611037205904722,1.0
770207-19-N3,geo2,1977-02-07T19:43:37,D,1,0.0009187688701786101,0.0036894555669277906,4.0,0.0032671967055648565,1.1
770207-20-M1,geo4,1977-02-07T20:06:41,B,1,0.001137251383624971,0.005901943892240524,5.2,0.005780024919658899,1.0
770207-20-M1,geo3,1977-02-07T20:06:43,B,1,0.0011516624363139272,0.00466937106102705,4.1,0.003969370853155851,1.2
770207-20-M1,geo1,1977-02-07T20:06:44,B,1,0.00105798349250108,0.00450687762349844,4.3,0.0031244780402630568,1.4
770207-20-M2,geo4,1977-02-07T20:11:53,C,1,0.0010794867994263768,0.005328821483999491,4.9,0.0034631683956831694,1.5
770207-20-M2,geo1,1977-02-07T20:11:58,C,1,0.0010807911166921258,0.004328041337430477,4.0,0.003966337535530329,1.1
770207-20-M5,geo4,1977-02-07T20:14:55,B,1,0.0011812098091468215,0.004539448767900467,3.8,0.0038459626957774162,1.2
770207-20-M5,geo3,1977-02-07T20:14:56,B,1,0.0011679534800350666,0.00424293102696538,3.6,0.003830208908766508,1.1
770207-20-M5,geo2,1977-02-07T20:15:05,B,1,0.0009522598702460527,0.004543633200228214,4.8,0.0034226002171635628,1.3
770207-20-M6,geo2,1977-02-07T20:17:30,C,1,0.001081545720808208,0.006033256649971008,5.6,0.0034226002171635628,1.8
770207-20-M6,geo4,1977-02-07T20:17:33,C,1,0.0013166052522137761,0.006063578184694052,4.6,0.006063578184694052,1.0
770207-20-N1,geo2,1977-02-07T20:20:03,D,1,0.0011549582704901695,0.0048431092873215675,4.2,0.0048431092873215675,1.0
770207-20-N2,geo2,1977-02-07T20:22:36,D,1,0.001164703629910946,0.003916752990335226,3.4,0.00590251199901104,0.7
770207-20-M7,geo4,1977-02-07T20:25:14,B,1,0.0014105619629845023,0.00507036317139864,3.6,0.0049065398052334785,1.0
